incident_id,created_at,country,customer_id,customer_email,customer_phone,category,status,priority,resolution_hours,channel,description,satisfaction_score
INC-0001,2026-08-10,ES,CUST-1,ana@example.com,+34 600 000 001,queja,cerrado,media,12,email,Entrega tardia,4
INC-0002,2026-08-11,US,CUST-2,bob@example.com,+1-213-555-1002,solicitud,abierto,baja,,web,Cambio de direccion,
INC-0003,2026-08-12,ES,CUST-3,correo-invalido,+34 600 000 003,fallo_operativo,resuelto,alta,6,chat,Fallo en tracking,5
INC-00004,2026-01-01,US,TF-CUST-2004,correo-invalido,+1-213-555-1004,queja,abierto,baja,,email,Incidencia queja en operacion Los Angeles: entrega tardia,
INC-00005,2026-02-04,ES,TF-CUST-2005,cliente5@trackflow.com,+34 600 005 005,solicitud,en_proceso,media,,telefono,Incidencia solicitud en operacion Zaragoza: consulta de seguimiento,
INC-00006,2026-03-07,US,TF-CUST-2006,cliente6@trackflow.com,+1-213-555-1006,fallo_operativo,resuelto,alta,10.0,web,Incidencia fallo_operativo en operacion Los Angeles: error de trazabilidad,3
INC-00007,2026-04-10,ES,TF-CUST-2007,cliente7@trackflow.com,+34 600 007 007,queja,cerrado,critica,11.0,chat,Incidencia queja en operacion Zaragoza: entrega tardia,
INC-00008,2026-05-13,US,TF-CUST-2008,cliente8@trackflow.com,+1-213-555-1008,solicitud,descartado,baja,,email,Incidencia solicitud en operacion Los Angeles: consulta de seguimiento,
INC-00009,2026-06-16,ES,TF-CUST-2009,cliente9@trackflow.com,+34 600 009 009,fallo_operativo,abierto,media,,telefono,Incidencia fallo_operativo en operacion Zaragoza: error de trazabilidad,
INC-00010,2026-07-19,FR,TF-CUST-2010,cliente10@trackflow.com,+1-213-555-1010,queja,en_proceso,alta,,web,Incidencia queja en operacion Los Angeles: entrega tardia,
INC-00011,2026-08-22,ES,TF-CUST-2011,cliente11@trackflow.com,+34 600 011 011,solicitud,resuelto,critica,15.0,chat,Incidencia solicitud en operacion Zaragoza: consulta de seguimiento,3
INC-00012,2026-09-25,US,TF-CUST-2012,cliente12@trackflow.com,+1-213-555-1012,fallo_operativo,cerrado,baja,16.0,email,Incidencia fallo_operativo en operacion Los Angeles: error de trazabilidad,4
INC-00013,2026-01-28,ES,TF-CUST-2013,cliente13@trackflow.com,+34 600 013 013,queja,descartado,media,,telefono,Incidencia queja en operacion Zaragoza: entrega tardia,
INC-00014,2026-02-03,US,TF-CUST-2014,cliente14@trackflow.com,+1-213-555-1014,solicitud,abierto,alta,,web,Incidencia solicitud en operacion Los Angeles: consulta de seguimiento,
INC-00015,2026-03-06,ES,TF-CUST-2015,cliente15@trackflow.com,+34 600 015 015,fallo_operativo,en_proceso,critica,,chat,Incidencia fallo_operativo en operacion Zaragoza: error de trazabilidad,
INC-00016,2026-04-09,US,TF-CUST-2016,cliente16@trackflow.com,+1-213-555-1016,queja,pendiente,baja,20.0,email,Incidencia queja en operacion Los Angeles: entrega tardia,
INC-00017,2026-05-12,ES,TF-CUST-2017,cliente17@trackflow.com,+34 600 017 017,solicitud,cerrado,media,21.0,telefono,Incidencia solicitud en operacion Zaragoza: consulta de seguimiento,4
INC-00018,2026-06-15,US,TF-CUST-2018,cliente18@trackflow.com,+1-213-555-1018,fallo_operativo,descartado,alta,,web,Incidencia fallo_operativo en operacion Los Angeles: error de trazabilidad,
INC-00019,2026-07-18,ES,TF-CUST-2019,cliente19@trackflow.com,+34 600 019 019,queja,abierto,critica,,chat,Incidencia queja en operacion Zaragoza: entrega tardia,
INC-00020,2026-08-21,US,TF-CUST-2020,cliente20@trackflow.com,+1-213-555-1020,solicitud,en_proceso,baja,,email,Incidencia solicitud en operacion Los Angeles: consulta de seguimiento,
INC-00021,2026-09-24,ES,TF-CUST-2021,cliente21@trackflow.com,+34 600 021 021,fallo_operativo,resuelto,media,25.0,telefono,Incidencia fallo_operativo en operacion Zaragoza: error de trazabilidad,3
INC-00022,2026-01-27,US,TF-CUST-2022,cliente22@trackflow.com,+1-213-555-1022,reclamacion,cerrado,alta,26.0,web,Incidencia queja en operacion Los Angeles: entrega tardia,
INC-00023,2026-02-02,ES,TF-CUST-2023,cliente23@trackflow.com,+34 600 023 023,solicitud,descartado,critica,,chat,Incidencia solicitud en operacion Zaragoza: consulta de seguimiento,
INC-00024,2026-03-05,US,TF-CUST-2024,cliente24@trackflow.com,+1-213-555-1024,fallo_operativo,abierto,baja,,email,Incidencia fallo_operativo en operacion Los Angeles: error de trazabilidad,
INC-00025,2026-04-08,ES,TF-CUST-2025,cliente25@trackflow.com,+34 600 025 025,queja,en_proceso,media,,telefono,Incidencia queja en operacion Zaragoza: entrega tardia,
INC-00026,2026-05-11,US,TF-CUST-2026,cliente26@trackflow.com,+1-213-555-1026,solicitud,resuelto,alta,30.0,web,Incidencia solicitud en operacion Los Angeles: consulta de seguimiento,3
INC-00027,2026-06-14,ES,TF-CUST-2027,cliente27@trackflow.com,+34 600 027 027,fallo_operativo,cerrado,critica,31.0,chat,Incidencia fallo_operativo en operacion Zaragoza: error de trazabilidad,4
INC-00028,2026-07-17,US,TF-CUST-2028,cliente28@trackflow.com,+1-213-555-1028,queja,descartado,baja,-4,email,Incidencia queja en operacion Los Angeles: entrega tardia,
INC-00029,2026-08-20,ES,TF-CUST-2029,cliente29@trackflow.com,+34 600 029 029,solicitud,abierto,media,,telefono,Incidencia solicitud en operacion Zaragoza: consulta de seguimiento,
INC-00030,2026-09-23,US,TF-CUST-2030,cliente30@trackflow.com,+1-213-555-1030,fallo_operativo,en_proceso,alta,,web,Incidencia fallo_operativo en operacion Los Angeles: error de trazabilidad,
INC-00031,2026-01-26,ES,TF-CUST-2031,cliente31@trackflow.com,+34 600 031 031,queja,resuelto,critica,35.0,chat,Incidencia queja en operacion Zaragoza: entrega tardia,
INC-00032,2026-02-01,US,TF-CUST-2032,cliente32@trackflow.com,+1-213-555-1032,solicitud,cerrado,baja,36.0,email,Incidencia solicitud en operacion Los Angeles: consulta de seguimiento,4
INC-00033,2026-03-04,ES,TF-CUST-2033,cliente33@trackflow.com,+34 600 033 033,fallo_operativo,descartado,media,,telefono,Incidencia fallo_operativo en operacion Zaragoza: error de trazabilidad,
INC-00034,2026-04-07,US,TF-CUST-2034,cliente34@trackflow.com,12,queja,abierto,alta,,web,Incidencia queja en operacion Los Angeles: entrega tardia,
INC-00035,2026-05-10,ES,TF-CUST-2035,cliente35@trackflow.com,+34 600 035 035,solicitud,en_proceso,critica,,chat,Incidencia solicitud en operacion Zaragoza: consulta de seguimiento,
INC-00036,2026-06-13,US,TF-CUST-2036,cliente36@trackflow.com,+1-213-555-1036,fallo_operativo,resuelto,baja,40.0,email,Incidencia fallo_operativo en operacion Los Angeles: error de trazabilidad,3
INC-00037,2026-07-16,ES,TF-CUST-2037,cliente37@trackflow.com,+34 600 037 037,queja,cerrado,media,41.0,telefono,Incidencia queja en operacion Zaragoza: entrega tardia,
